dataset,classifier,hyperparameter,metric,value
no_preprocessing,LogReg,0.03,recall,0.36009679142415085
no_preprocessing,LogReg,0.03,precision,0.25050018959059667
no_preprocessing,LogReg,0.03,fscore,0.18276397319474996
no_preprocessing,LogReg,0.1,recall,0.3500768989906432
no_preprocessing,LogReg,0.1,precision,0.25091346952965365
no_preprocessing,LogReg,0.1,fscore,0.17511132966897505
no_preprocessing,LogReg,1.0,recall,0.34488482260034414
no_preprocessing,LogReg,1.0,precision,0.2522406447323487
no_preprocessing,LogReg,1.0,fscore,0.17001706062333488
no_preprocessing,LogReg,10.0,recall,0.24563141218008733
no_preprocessing,LogReg,10.0,precision,0.25254947198801464
no_preprocessing,LogReg,10.0,fscore,0.19012212889611171
no_preprocessing,LogReg,30.0,recall,0.3837368761451926
no_preprocessing,LogReg,30.0,precision,0.25187557518691345
no_preprocessing,LogReg,30.0,fscore,0.1736182341235859
no_preprocessing,LogReg,0.03,recall,0.34386988208596814
no_preprocessing,LogReg,0.03,precision,0.2509041803773896
no_preprocessing,LogReg,0.03,fscore,0.16678914966936703
no_preprocessing,LogReg,0.1,recall,0.33637364373855555
no_preprocessing,LogReg,0.1,precision,0.250637133784695
no_preprocessing,LogReg,0.1,fscore,0.16734717965217277
no_preprocessing,LogReg,1.0,recall,0.2615436743289374
no_preprocessing,LogReg,1.0,precision,0.24962511555623473
no_preprocessing,LogReg,1.0,fscore,0.18179620411960634
no_preprocessing,LogReg,10.0,recall,0.24756091571082955
no_preprocessing,LogReg,10.0,precision,0.2502311482936652
no_preprocessing,LogReg,10.0,fscore,0.1763819817108172
no_preprocessing,LogReg,30.0,recall,0.28065486672788337
no_preprocessing,LogReg,30.0,precision,0.25033222781529973
no_preprocessing,LogReg,30.0,fscore,0.1754483164100074
no_preprocessing,LogReg,0.03,recall,0.3462613841653594
no_preprocessing,LogReg,0.03,precision,0.25135680564874124
no_preprocessing,LogReg,0.03,fscore,0.17761383648597684
no_preprocessing,LogReg,0.1,recall,0.3391465615919697
no_preprocessing,LogReg,0.1,precision,0.2511638784080823
no_preprocessing,LogReg,0.1,fscore,0.1716568646226677
no_preprocessing,LogReg,1.0,recall,0.3662968450786144
no_preprocessing,LogReg,1.0,precision,0.2520556928935621
no_preprocessing,LogReg,1.0,fscore,0.18107652713458344
no_preprocessing,LogReg,10.0,recall,0.3145979879800824
no_preprocessing,LogReg,10.0,precision,0.25124411025555654
no_preprocessing,LogReg,10.0,fscore,0.1753313018925015
no_preprocessing,LogReg,30.0,recall,0.35623831783748106
no_preprocessing,LogReg,30.0,precision,0.25171315432304886
no_preprocessing,LogReg,30.0,fscore,0.1821815053407767
no_preprocessing,LogReg,0.03,recall,0.48229279164338096
no_preprocessing,LogReg,0.03,precision,0.2521995204385611
no_preprocessing,LogReg,0.03,fscore,0.1683671828734076
no_preprocessing,LogReg,0.1,recall,0.3796770204956157
no_preprocessing,LogReg,0.1,precision,0.25212940381453336
no_preprocessing,LogReg,0.1,fscore,0.10942759156246623
no_preprocessing,LogReg,1.0,recall,0.37861847543455174
no_preprocessing,LogReg,1.0,precision,0.25175076884451014
no_preprocessing,LogReg,1.0,fscore,0.16533910510205835
no_preprocessing,LogReg,10.0,recall,0.27245548985641627
no_preprocessing,LogReg,10.0,precision,0.25109210949232713
no_preprocessing,LogReg,10.0,fscore,0.17715065807822403
no_preprocessing,LogReg,30.0,recall,0.2839285770440958
no_preprocessing,LogReg,30.0,precision,0.25023357716670774
no_preprocessing,LogReg,30.0,fscore,0.18565607885330995
no_preprocessing,LogReg,0.03,recall,0.3635431884737694
no_preprocessing,LogReg,0.03,precision,0.2537235034146533
no_preprocessing,LogReg,0.03,fscore,0.18785866124857442
no_preprocessing,LogReg,0.1,recall,0.3532068986791687
no_preprocessing,LogReg,0.1,precision,0.2515345957096016
no_preprocessing,LogReg,0.1,fscore,0.18954511336746524
no_preprocessing,LogReg,1.0,recall,0.3233506156711165
no_preprocessing,LogReg,1.0,precision,0.2530444033239782
no_preprocessing,LogReg,1.0,fscore,0.18917727417690544
no_preprocessing,LogReg,10.0,recall,0.3487369600036898
no_preprocessing,LogReg,10.0,precision,0.2523213988569105
no_preprocessing,LogReg,10.0,fscore,0.1847333989490272
no_preprocessing,LogReg,30.0,recall,0.33702057086372456
no_preprocessing,LogReg,30.0,precision,0.2506058216296842
no_preprocessing,LogReg,30.0,fscore,0.18480152265616862
no_preprocessing,LogReg,0.03,recall,0.27345361774241084
no_preprocessing,LogReg,0.03,precision,0.2506312595566794
no_preprocessing,LogReg,0.03,fscore,0.1760490430630537
no_preprocessing,LogReg,0.1,recall,0.39487021599090566
no_preprocessing,LogReg,0.1,precision,0.25137703439788
no_preprocessing,LogReg,0.1,fscore,0.1800614483224482
no_preprocessing,LogReg,1.0,recall,0.3841186950023157
no_preprocessing,LogReg,1.0,precision,0.2511468020742823
no_preprocessing,LogReg,1.0,fscore,0.18122342729861585
no_preprocessing,LogReg,10.0,recall,0.386856737611048
no_preprocessing,LogReg,10.0,precision,0.2522998311730578
no_preprocessing,LogReg,10.0,fscore,0.18926920575094497
no_preprocessing,LogReg,30.0,recall,0.39786680034524863
no_preprocessing,LogReg,30.0,precision,0.2510446186370108
no_preprocessing,LogReg,30.0,fscore,0.1884369022474332
no_preprocessing,LogReg,0.03,recall,0.25029472443265544
no_preprocessing,LogReg,0.03,precision,0.2520213365771812
no_preprocessing,LogReg,0.03,fscore,0.15169147585129433
no_preprocessing,LogReg,0.1,recall,0.3390178308281756
no_preprocessing,LogReg,0.1,precision,0.2527063654549047
no_preprocessing,LogReg,0.1,fscore,0.1846424339596459
no_preprocessing,LogReg,1.0,recall,0.3421366468780262
no_preprocessing,LogReg,1.0,precision,0.25224131981557807
no_preprocessing,LogReg,1.0,fscore,0.18593661212297277
no_preprocessing,LogReg,10.0,recall,0.40814018357121806
no_preprocessing,LogReg,10.0,precision,0.2524030681748614
no_preprocessing,LogReg,10.0,fscore,0.18565721849826333
no_preprocessing,LogReg,30.0,recall,0.421878026188371
no_preprocessing,LogReg,30.0,precision,0.2525450182602067
no_preprocessing,LogReg,30.0,fscore,0.2151344011172794
no_preprocessing,LogReg,0.03,recall,0.2408635425876805
no_preprocessing,LogReg,0.03,precision,0.2505820122961914
no_preprocessing,LogReg,0.03,fscore,0.1610992950799359
no_preprocessing,LogReg,0.1,recall,0.23228232495473874
no_preprocessing,LogReg,0.1,precision,0.25020821825867623
no_preprocessing,LogReg,0.1,fscore,0.18381628662241128
no_preprocessing,LogReg,1.0,recall,0.23361595301250476
no_preprocessing,LogReg,1.0,precision,0.2504447384444178
no_preprocessing,LogReg,1.0,fscore,0.17843365281667356
no_preprocessing,LogReg,10.0,recall,0.25880436613195235
no_preprocessing,LogReg,10.0,precision,0.2520942144005547
no_preprocessing,LogReg,10.0,fscore,0.1876779858041743
no_preprocessing,LogReg,30.0,recall,0.22419634962738408
no_preprocessing,LogReg,30.0,precision,0.25003621495344514
no_preprocessing,LogReg,30.0,fscore,0.16874075212690834
no_preprocessing,LogReg,0.03,recall,0.3291035210584201
no_preprocessing,LogReg,0.03,precision,0.25064634697890026
no_preprocessing,LogReg,0.03,fscore,0.18006345846402844
no_preprocessing,LogReg,0.1,recall,0.29094546789300785
no_preprocessing,LogReg,0.1,precision,0.2505222658458735
no_preprocessing,LogReg,0.1,fscore,0.1791570522784664
no_preprocessing,LogReg,1.0,recall,0.3237187349492858
no_preprocessing,LogReg,1.0,precision,0.25217661097506605
no_preprocessing,LogReg,1.0,fscore,0.18639723141472891
no_preprocessing,LogReg,10.0,recall,0.3092948717948718
no_preprocessing,LogReg,10.0,precision,0.24996010045736647
no_preprocessing,LogReg,10.0,fscore,0.18321693612390547
no_preprocessing,LogReg,30.0,recall,0.3401368177309094
no_preprocessing,LogReg,30.0,precision,0.25069698033587323
no_preprocessing,LogReg,30.0,fscore,0.17711660826830533
no_preprocessing,LogReg,0.03,recall,0.26978798261125847
no_preprocessing,LogReg,0.03,precision,0.25029998355806066
no_preprocessing,LogReg,0.03,fscore,0.17198119077784754
no_preprocessing,LogReg,0.1,recall,0.32881620966408603
no_preprocessing,LogReg,0.1,precision,0.25079327805516494
no_preprocessing,LogReg,0.1,fscore,0.17345420582894686
no_preprocessing,LogReg,1.0,recall,0.318745821742037
no_preprocessing,LogReg,1.0,precision,0.25202324506032436
no_preprocessing,LogReg,1.0,fscore,0.16019936334887197
no_preprocessing,LogReg,10.0,recall,0.30801601036567394
no_preprocessing,LogReg,10.0,precision,0.2508761550730134
no_preprocessing,LogReg,10.0,fscore,0.1768378205556264
no_preprocessing,LogReg,30.0,recall,0.28375830260291995
no_preprocessing,LogReg,30.0,precision,0.2509138093528776
no_preprocessing,LogReg,30.0,fscore,0.17068744733822064
freq_filt,LogReg,0.03,recall,0.3858120794867783
freq_filt,LogReg,0.03,precision,0.2538575185694042
freq_filt,LogReg,0.03,fscore,0.19025625251728817
freq_filt,LogReg,0.1,recall,0.37077889479997916
freq_filt,LogReg,0.1,precision,0.25321072548163687
freq_filt,LogReg,0.1,fscore,0.18879975834257168
freq_filt,LogReg,1.0,recall,0.34975942731966825
freq_filt,LogReg,1.0,precision,0.2515573029521823
freq_filt,LogReg,1.0,fscore,0.18729845234683398
freq_filt,LogReg,10.0,recall,0.35520751838522924
freq_filt,LogReg,10.0,precision,0.2563782265565032
freq_filt,LogReg,10.0,fscore,0.19212100094496903
freq_filt,LogReg,30.0,recall,0.37845994367078706
freq_filt,LogReg,30.0,precision,0.2543368311474777
freq_filt,LogReg,30.0,fscore,0.18989790439990062
freq_filt,LogReg,0.03,recall,0.2993027554774543
freq_filt,LogReg,0.03,precision,0.2506085587012574
freq_filt,LogReg,0.03,fscore,0.18081354402092356
freq_filt,LogReg,0.1,recall,0.24256376153966513
freq_filt,LogReg,0.1,precision,0.2498685868107246
freq_filt,LogReg,0.1,fscore,0.1829566244029169
freq_filt,LogReg,1.0,recall,0.2859718093151828
freq_filt,LogReg,1.0,precision,0.25001186156801575
freq_filt,LogReg,1.0,fscore,0.18130326787156015
freq_filt,LogReg,10.0,recall,0.301510989010989
freq_filt,LogReg,10.0,precision,0.2504276878740887
freq_filt,LogReg,10.0,fscore,0.18429923868415463
freq_filt,LogReg,30.0,recall,0.2663662642578305
freq_filt,LogReg,30.0,precision,0.252352106480892
freq_filt,LogReg,30.0,fscore,0.18591260072944252
freq_filt,LogReg,0.03,recall,0.36772845628267314
freq_filt,LogReg,0.03,precision,0.2520872003586118
freq_filt,LogReg,0.03,fscore,0.18300741010173743
freq_filt,LogReg,0.1,recall,0.3260775870715629
freq_filt,LogReg,0.1,precision,0.25243013042370627
freq_filt,LogReg,0.1,fscore,0.1793974463532451
freq_filt,LogReg,1.0,recall,0.40861217096156854
freq_filt,LogReg,1.0,precision,0.25279637175415814
freq_filt,LogReg,1.0,fscore,0.1787267518001388
freq_filt,LogReg,10.0,recall,0.33732893612411685
freq_filt,LogReg,10.0,precision,0.2518772697823224
freq_filt,LogReg,10.0,fscore,0.18484858972653648
freq_filt,LogReg,30.0,recall,0.3248876123876124
freq_filt,LogReg,30.0,precision,0.2513309072224933
freq_filt,LogReg,30.0,fscore,0.18384699662328802
freq_filt,LogReg,0.03,recall,0.39508749282845673
freq_filt,LogReg,0.03,precision,0.2512589732242088
freq_filt,LogReg,0.03,fscore,0.18357476034021553
freq_filt,LogReg,0.1,recall,0.38673776023173617
freq_filt,LogReg,0.1,precision,0.2525885866384975
freq_filt,LogReg,0.1,fscore,0.18531152805942497
freq_filt,LogReg,1.0,recall,0.37800126580247057
freq_filt,LogReg,1.0,precision,0.25236083995847325
freq_filt,LogReg,1.0,fscore,0.18433868516592206
freq_filt,LogReg,10.0,recall,0.3973620255246761
freq_filt,LogReg,10.0,precision,0.25262185444045193
freq_filt,LogReg,10.0,fscore,0.18165690054545452
freq_filt,LogReg,30.0,recall,0.3147176618562161
freq_filt,LogReg,30.0,precision,0.2517888025245054
freq_filt,LogReg,30.0,fscore,0.18117813116416956
freq_filt,LogReg,0.03,recall,0.3795161164137068
freq_filt,LogReg,0.03,precision,0.25074247615520306
freq_filt,LogReg,0.03,fscore,0.1833846655483901
freq_filt,LogReg,0.1,recall,0.38324682345766686
freq_filt,LogReg,0.1,precision,0.2512524541923275
freq_filt,LogReg,0.1,fscore,0.18216641117855492
freq_filt,LogReg,1.0,recall,0.41156739846498885
freq_filt,LogReg,1.0,precision,0.25443136162648816
freq_filt,LogReg,1.0,fscore,0.19002125179553556
freq_filt,LogReg,10.0,recall,0.3823080032417382
freq_filt,LogReg,10.0,precision,0.25115687720975494
freq_filt,LogReg,10.0,fscore,0.18123435890390183
freq_filt,LogReg,30.0,recall,0.4025930394906299
freq_filt,LogReg,30.0,precision,0.2521276147279895
freq_filt,LogReg,30.0,fscore,0.18574454769318804
freq_filt,LogReg,0.03,recall,0.3920684736949797
freq_filt,LogReg,0.03,precision,0.25121036526674856
freq_filt,LogReg,0.03,fscore,0.18638882858332656
freq_filt,LogReg,0.1,recall,0.4565186821210917
freq_filt,LogReg,0.1,precision,0.25228988432031646
freq_filt,LogReg,0.1,fscore,0.18807736352572493
freq_filt,LogReg,1.0,recall,0.34886549193778105
freq_filt,LogReg,1.0,precision,0.25070450220750823
freq_filt,LogReg,1.0,fscore,0.18520786797763386
freq_filt,LogReg,10.0,recall,0.38781790498657964
freq_filt,LogReg,10.0,precision,0.2511437298140372
freq_filt,LogReg,10.0,fscore,0.1843517328439116
freq_filt,LogReg,30.0,recall,0.33766900769912817
freq_filt,LogReg,30.0,precision,0.2511663649053538
freq_filt,LogReg,30.0,fscore,0.18400852891280955
freq_filt,LogReg,0.03,recall,0.2732207049978134
freq_filt,LogReg,0.03,precision,0.2520245319376752
freq_filt,LogReg,0.03,fscore,0.18324978893894245
freq_filt,LogReg,0.1,recall,0.39214545494665976
freq_filt,LogReg,0.1,precision,0.2529346478144258
freq_filt,LogReg,0.1,fscore,0.18795045551081863
freq_filt,LogReg,1.0,recall,0.3153763405269429
freq_filt,LogReg,1.0,precision,0.2520731435251142
freq_filt,LogReg,1.0,fscore,0.18378987927845455
freq_filt,LogReg,10.0,recall,0.3294858254195604
freq_filt,LogReg,10.0,precision,0.25320296447619706
freq_filt,LogReg,10.0,fscore,0.18887680200268306
freq_filt,LogReg,30.0,recall,0.33335785700243536
freq_filt,LogReg,30.0,precision,0.25147680062036193
freq_filt,LogReg,30.0,fscore,0.1842121892203992
freq_filt,LogReg,0.03,recall,0.26905529209746076
freq_filt,LogReg,0.03,precision,0.25157013706727294
freq_filt,LogReg,0.03,fscore,0.18448453105297655
freq_filt,LogReg,0.1,recall,0.23151492082214975
freq_filt,LogReg,0.1,precision,0.2504108190830067
freq_filt,LogReg,0.1,fscore,0.1809867624831137
freq_filt,LogReg,1.0,recall,0.2277842137781897
freq_filt,LogReg,1.0,precision,0.25042318452950096
freq_filt,LogReg,1.0,fscore,0.18316366757466013
freq_filt,LogReg,10.0,recall,0.28312255014062243
freq_filt,LogReg,10.0,precision,0.2516833394817721
freq_filt,LogReg,10.0,fscore,0.18039406041610578
freq_filt,LogReg,30.0,recall,0.26063173774017145
freq_filt,LogReg,30.0,precision,0.25187024827906107
freq_filt,LogReg,30.0,fscore,0.18472647614150148
freq_filt,LogReg,0.03,recall,0.32068065938312784
freq_filt,LogReg,0.03,precision,0.25397744103348274
freq_filt,LogReg,0.03,fscore,0.19113768413153473
freq_filt,LogReg,0.1,recall,0.32351381845210575
freq_filt,LogReg,0.1,precision,0.25054257494857696
freq_filt,LogReg,0.1,fscore,0.1831476153216981
freq_filt,LogReg,1.0,recall,0.34598027256367764
freq_filt,LogReg,1.0,precision,0.2509331106630149
freq_filt,LogReg,1.0,fscore,0.1869279424219576
freq_filt,LogReg,10.0,recall,0.35188192167350685
freq_filt,LogReg,10.0,precision,0.2511582797064549
freq_filt,LogReg,10.0,fscore,0.18520403389085804
freq_filt,LogReg,30.0,recall,0.36472065542365206
freq_filt,LogReg,30.0,precision,0.2512145159672402
freq_filt,LogReg,30.0,fscore,0.18577667485129523
freq_filt,LogReg,0.03,recall,0.4135240698195475
freq_filt,LogReg,0.03,precision,0.2536242291517562
freq_filt,LogReg,0.03,fscore,0.18731991640851153
freq_filt,LogReg,0.1,recall,0.2903863571162687
freq_filt,LogReg,0.1,precision,0.250716921041648
freq_filt,LogReg,0.1,fscore,0.17785398097184013
freq_filt,LogReg,1.0,recall,0.33394416249973324
freq_filt,LogReg,1.0,precision,0.2512034303460247
freq_filt,LogReg,1.0,fscore,0.18018829323853164
freq_filt,LogReg,10.0,recall,0.3332111408269377
freq_filt,LogReg,10.0,precision,0.25107163396705484
freq_filt,LogReg,10.0,fscore,0.17403650198877152
freq_filt,LogReg,30.0,recall,0.3290695913441591
freq_filt,LogReg,30.0,precision,0.25232428479133084
freq_filt,LogReg,30.0,fscore,0.18363071728330643
lowercase,LogReg,0.03,recall,0.3844686164066754
lowercase,LogReg,0.03,precision,0.2530821701203723
lowercase,LogReg,0.03,fscore,0.18735079921428954
lowercase,LogReg,0.1,recall,0.35694435771579036
lowercase,LogReg,0.1,precision,0.2591210558162422
lowercase,LogReg,0.1,fscore,0.20080996162735146
lowercase,LogReg,1.0,recall,0.4316458720055778
lowercase,LogReg,1.0,precision,0.25266429377219135
lowercase,LogReg,1.0,fscore,0.16233383776976212
lowercase,LogReg,10.0,recall,0.3266573733482122
lowercase,LogReg,10.0,precision,0.25127963238103135
lowercase,LogReg,10.0,fscore,0.15845932230705279
lowercase,LogReg,30.0,recall,0.350601070753211
lowercase,LogReg,30.0,precision,0.25014995788780625
lowercase,LogReg,30.0,fscore,0.18281053631638108
lowercase,LogReg,0.03,recall,0.2832704563070275
lowercase,LogReg,0.03,precision,0.25016221453950654
lowercase,LogReg,0.03,fscore,0.18686694992640474
lowercase,LogReg,0.1,recall,0.31024842742855707
lowercase,LogReg,0.1,precision,0.2507945304402006
lowercase,LogReg,0.1,fscore,0.18669084454061727
lowercase,LogReg,1.0,recall,0.3198576191284826
lowercase,LogReg,1.0,precision,0.2510172253997089
lowercase,LogReg,1.0,fscore,0.17855272949446716
lowercase,LogReg,10.0,recall,0.2622404298736312
lowercase,LogReg,10.0,precision,0.25154505527849585
lowercase,LogReg,10.0,fscore,0.1731653634072369
lowercase,LogReg,30.0,recall,0.27288298100784736
lowercase,LogReg,30.0,precision,0.25056032288950325
lowercase,LogReg,30.0,fscore,0.1632310488263651
lowercase,LogReg,0.03,recall,0.3778273042068813
lowercase,LogReg,0.03,precision,0.25078258063039055
lowercase,LogReg,0.03,fscore,0.1714109033630069
lowercase,LogReg,0.1,recall,0.3618653259489937
lowercase,LogReg,0.1,precision,0.2522317050011227
lowercase,LogReg,0.1,fscore,0.18123535777850033
lowercase,LogReg,1.0,recall,0.30908803547394126
lowercase,LogReg,1.0,precision,0.2509923744412919
lowercase,LogReg,1.0,fscore,0.18568749619701902
lowercase,LogReg,10.0,recall,0.2792988860596629
lowercase,LogReg,10.0,precision,0.2504812534968816
lowercase,LogReg,10.0,fscore,0.1727871934705714
lowercase,LogReg,30.0,recall,0.32468163533353817
lowercase,LogReg,30.0,precision,0.2515428922740937
lowercase,LogReg,30.0,fscore,0.17990759092692157
lowercase,LogReg,0.03,recall,0.3473873716740372
lowercase,LogReg,0.03,precision,0.2521595504489185
lowercase,LogReg,0.03,fscore,0.15526699646896233
lowercase,LogReg,0.1,recall,0.28694184869950445
lowercase,LogReg,0.1,precision,0.25109423856114804
lowercase,LogReg,0.1,fscore,0.14506783204111218
lowercase,LogReg,1.0,recall,0.40599559802788776
lowercase,LogReg,1.0,precision,0.25161185267547287
lowercase,LogReg,1.0,fscore,0.14260038983298284
lowercase,LogReg,10.0,recall,0.35568127653896814
lowercase,LogReg,10.0,precision,0.2506069503701784
lowercase,LogReg,10.0,fscore,0.12311973301939136
lowercase,LogReg,30.0,recall,0.2617742196817091
lowercase,LogReg,30.0,precision,0.258528367967579
lowercase,LogReg,30.0,fscore,0.10400338307933181
lowercase,LogReg,0.03,recall,0.28785740379184166
lowercase,LogReg,0.03,precision,0.2504335445953204
lowercase,LogReg,0.03,fscore,0.17829603651939938
lowercase,LogReg,0.1,recall,0.41550386939578154
lowercase,LogReg,0.1,precision,0.25240974654582093
lowercase,LogReg,0.1,fscore,0.18708866869204857
lowercase,LogReg,1.0,recall,0.37724634077457697
lowercase,LogReg,1.0,precision,0.2511056923062779
lowercase,LogReg,1.0,fscore,0.18034321251951452
lowercase,LogReg,10.0,recall,0.3366853895736335
lowercase,LogReg,10.0,precision,0.2519523126694399
lowercase,LogReg,10.0,fscore,0.1839355275311568
lowercase,LogReg,30.0,recall,0.3992636044688193
lowercase,LogReg,30.0,precision,0.25158930783918876
lowercase,LogReg,30.0,fscore,0.1815614528584248
lowercase,LogReg,0.03,recall,0.2989189928845101
lowercase,LogReg,0.03,precision,0.2507945247999712
lowercase,LogReg,0.03,fscore,0.14769407547266702
lowercase,LogReg,0.1,recall,0.2966480358721738
lowercase,LogReg,0.1,precision,0.2501322382544724
lowercase,LogReg,0.1,fscore,0.15624292728667338
lowercase,LogReg,1.0,recall,0.3466617195065471
lowercase,LogReg,1.0,precision,0.25054383796073876
lowercase,LogReg,1.0,fscore,0.17784817192258542
lowercase,LogReg,10.0,recall,0.39533006504989265
lowercase,LogReg,10.0,precision,0.25134477866887694
lowercase,LogReg,10.0,fscore,0.194171315258064
lowercase,LogReg,30.0,recall,0.274833822786409
lowercase,LogReg,30.0,precision,0.2509725982705125
lowercase,LogReg,30.0,fscore,0.17128995235836014
lowercase,LogReg,0.03,recall,0.3578538798366384
lowercase,LogReg,0.03,precision,0.25115647324308005
lowercase,LogReg,0.03,fscore,0.17795998043193964
lowercase,LogReg,0.1,recall,0.3809908003873521
lowercase,LogReg,0.1,precision,0.25302053409892816
lowercase,LogReg,0.1,fscore,0.18445042966326045
lowercase,LogReg,1.0,recall,0.287061597406425
lowercase,LogReg,1.0,precision,0.25216280365780663
lowercase,LogReg,1.0,fscore,0.18552930654073801
lowercase,LogReg,10.0,recall,0.36459464864637275
lowercase,LogReg,10.0,precision,0.26382855833557467
lowercase,LogReg,10.0,fscore,0.19942551890663915
lowercase,LogReg,30.0,recall,0.2969722327480948
lowercase,LogReg,30.0,precision,0.2529133854241345
lowercase,LogReg,30.0,fscore,0.1872590637275258
lowercase,LogReg,0.03,recall,0.2780203991410888
lowercase,LogReg,0.03,precision,0.25061632086222857
lowercase,LogReg,0.03,fscore,0.18012217857905607
lowercase,LogReg,0.1,recall,0.19863847837985765
lowercase,LogReg,0.1,precision,0.24997282239530483
lowercase,LogReg,0.1,fscore,0.17824855952435642
lowercase,LogReg,1.0,recall,0.2560307987032125
lowercase,LogReg,1.0,precision,0.24962689124554394
lowercase,LogReg,1.0,fscore,0.1832176276701779
lowercase,LogReg,10.0,recall,0.2740942486632142
lowercase,LogReg,10.0,precision,0.25045023229513447
lowercase,LogReg,10.0,fscore,0.18137953659407677
lowercase,LogReg,30.0,recall,0.22285324828428277
lowercase,LogReg,30.0,precision,0.2508875045971567
lowercase,LogReg,30.0,fscore,0.1803431993816798
lowercase,LogReg,0.03,recall,0.24543311911898957
lowercase,LogReg,0.03,precision,0.2497349817147416
lowercase,LogReg,0.03,fscore,0.1836469289782645
lowercase,LogReg,0.1,recall,0.338857057751612
lowercase,LogReg,0.1,precision,0.25090540419629054
lowercase,LogReg,0.1,fscore,0.17993265892630508
lowercase,LogReg,1.0,recall,0.27891837481040593
lowercase,LogReg,1.0,precision,0.25149121665126795
lowercase,LogReg,1.0,fscore,0.1728028747307964
lowercase,LogReg,10.0,recall,0.2748397435897436
lowercase,LogReg,10.0,precision,0.25004110542717223
lowercase,LogReg,10.0,fscore,0.18072191504857515
lowercase,LogReg,30.0,recall,0.3255374003507939
lowercase,LogReg,30.0,precision,0.2501827136203296
lowercase,LogReg,30.0,fscore,0.18768701069535546
lowercase,LogReg,0.03,recall,0.3077061229000884
lowercase,LogReg,0.03,precision,0.2502586453629997
lowercase,LogReg,0.03,fscore,0.17771567677835023
lowercase,LogReg,0.1,recall,0.3863493616700093
